course_name,Course_link
"Finance MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/finance-msc/september-2022
"Forensic Linguistics MA -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/forensic-linguistics-ma/september-2022
"Forensic Linguistics MA (Distance Learning) -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/forensic-linguistics-ma-distance-learning/september-2022
"Foundation Degree in Hearing Aid Audiology -
Foundation programmes",https://www.aston.ac.uk/study/courses/foundation-degree-hearing-aid-audiology/september-2022
"Foundation Programme Business -
Foundation programmes",https://www.aston.ac.uk/study/courses/foundation-programme-business/september-2022
"Foundation Programme in Engineering and Applied Science -
Foundation programmes",https://www.aston.ac.uk/study/courses/foundation-programme-engineering-and-applied-science/september-2022
Foundation Programme in Science: Biosciences and Pharmacy - ,https://www.aston.ac.uk/study/courses/foundation-programme-science-biosciences-and-pharmacy/september-2022
"Foundation Programme in Science: Health Science -
Foundation programmes",https://www.aston.ac.uk/study/courses/foundation-programme-science-health-science/september-2022
"Foundation Programme in Social Sciences -
Foundation programmes",https://www.aston.ac.uk/study/courses/foundation-programme-social-sciences/september-2022
Free Academic English Tutorials - ,https://www.aston.ac.uk/study/courses/free-academic-english-tutorials
"Future Vehicle Technologies (including Professional Practice) MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/future-vehicle-technologies-including-professional-practice-msc/september-2022
"Future Vehicle Technologies MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/future-vehicle-technologies-msc/september-2022
"General Ocular Therapeutics - Standalone module -
Professional courses/CPD",https://www.aston.ac.uk/study/courses/general-ocular-therapeutics-standalone-module/october-2022
Glaucoma (Professionally Accredited) - ,https://www.aston.ac.uk/study/courses/glaucoma-professionally-accredited/october-2022
"Glaucoma - Standalone module -
Professional courses/CPD",https://www.aston.ac.uk/study/courses/glaucoma-standalone-module/october-2022
"Global Business Management MSc (Online) -
Online courses",https://www.aston.ac.uk/study/courses/global-business-management-msc-online-
